Player, POS, Age, Team, G, MP, PER, TS%, 3PAr, FTr, ORB%, DRB%, TRB%, AST%, STL%, BLK%, TOV%, USG%, , OWS, DWS, WS, WS48, , OBPM, DBPM, BPM, VORP
Dejounte Murray,PG,21,SAS,56,1068,14.1,0.472,0.049,0.251,7.7,23,15.3,22,2.3,1.4,18.3,21.2,0,-0.4,2.1,1.6,0.074,0,-2.9,3.1,0.1,0.6
Delon Wright,PG,25,TOR,43,918,16.5,0.581,0.326,0.301,3.7,12.2,8,17.5,2.5,2,15.2,17.4,0,1.5,1.4,2.9,0.15,0,0.9,1.9,2.8,1.1
DeMar DeRozan,SG,28,TOR,55,1874,22.4,0.562,0.191,0.4,2.6,10.4,6.6,24.9,1.7,0.7,9.4,30,0,5.3,2.1,7.4,0.19,0,3.4,-0.7,2.7,2.2
DeMarcus Cousins,C,27,NOP,48,1737,23,0.583,0.34,0.456,6.9,31.8,19.7,23.9,2.2,3.6,18.9,32.2,0,1.7,3,4.7,0.129,0,2,3.4,5.4,3.2
DeMarre Carroll,SF,31,BRK,52,1540,14.1,0.538,0.478,0.313,5.8,17.5,11.6,10.4,1.4,1,10.8,19.9,0,1.4,1.4,2.9,0.089,0,0.2,0.1,0.3,0.9
Demetrius Jackson,PG,23,HOU,12,63,-0.6,0.286,0.429,0,7.2,12.6,9.9,10.6,3.1,1.4,41.7,16.7,0,-0.3,0.1,-0.2,-0.165,0,-10,2.1,-7.8,-0.1
Dennis Schroder,PG,24,ATL,54,1689,17.9,0.514,0.22,0.232,2.4,9,5.7,36.5,1.7,0.3,12,30.4,0,1.9,0.7,2.6,0.074,0,1.7,-2.4,-0.6,0.6
Dennis Smith,PG,20,DAL,49,1437,12.5,0.473,0.336,0.194,2.6,12.7,7.5,28.5,1.7,0.8,15.6,28.8,0,-1.9,1.2,-0.7,-0.022,0,-1.7,-0.6,-2.3,-0.1
Denzel Valentine,SG,24,CHI,55,1539,11.7,0.524,0.521,0.066,2.4,18.8,10.4,16.9,1.3,0.5,11.2,16.6,0,0.8,1.2,2,0.062,0,-0.6,0.1,-0.5,0.6
Derrick Favors,C,26,UTA,53,1493,18.3,0.579,0.063,0.298,10.1,19.6,14.8,7.8,1.5,2.9,11,19.1,0,2.7,2.1,4.7,0.151,0,-0.2,1.7,1.5,1.3
Derrick Jones,SF,20,TOT,16,226,9.1,0.464,0.341,0.455,8.5,7,7.8,5,0.9,4.8,10.2,11.7,0,0.1,0.2,0.3,0.064,0,-3,1.5,-1.6,0
Derrick Walton,PG,22,MIA,14,137,10.4,0.524,0.708,0.167,0.8,9.2,5,15.2,1.8,1.9,7.2,9.2,0,0.2,0.2,0.3,0.114,0,-1.8,0.3,-1.5,0
Derrick White,PG,23,SAS,15,117,13.4,0.595,0.333,0.75,4.7,16.1,10.4,9.6,1.7,1.4,15.8,14.6,0,0.1,0.2,0.3,0.135,0,-1.6,0.8,-0.8,0
